Time,time
0,41275
1,41276
2,41277
3,41278
4,41279
5,41280
6,41281
7,41282
8,41283
9,41284
10,41285
11,41286
12,41287
13,41288
14,41289
15,41290
16,41291
17,41292
18,41293
19,41294
20,41295
21,41296
22,41297
23,41298
24,41299
25,41300
26,41301
27,41302
28,41303
29,41304
30,41305
31,41306
32,41307
33,41308
34,41309
35,41310
36,41311
37,41312
38,41313
39,41314
40,41315
41,41316
42,41317
43,41318
44,41319
45,41320
46,41321
47,41322
48,41323
49,41324
50,41325
51,41326
52,41327
53,41328
54,41329
55,41330
56,41331
57,41332
58,41333
59,41334
60,41335
61,41336
62,41337
63,41338
64,41339
65,41340
66,41341
67,41342
68,41343
69,41344
70,41345
71,41346
72,41347
73,41348
74,41349
75,41350
76,41351
77,41352
78,41353
79,41354
80,41355
81,41356
82,41357
83,41358
84,41359
85,41360
86,41361
87,41362
88,41363
89,41364
90,41365
91,41366
92,41367
93,41368
94,41369
95,41370
96,41371
97,41372
98,41373
99,41374
100,41375
101,41376
102,41377
103,41378
104,41379
105,41380
106,41381
107,41382
108,41383
109,41384
110,41385
111,41386
112,41387
113,41388
114,41389
115,41390
116,41391
117,41392
118,41393
119,41394
120,41395
121,41396
122,41397
123,41398
124,41399
125,41400
126,41401
127,41402
128,41403
129,41404
130,41405
131,41406
132,41407
133,41408
134,41409
135,41410
136,41411
137,41412
138,41413
139,41414
140,41415
141,41416
142,41417
143,41418
144,41419
145,41420
146,41421
147,41422
148,41423
149,41424
150,41425
151,41426
152,41427
153,41428
154,41429
155,41430
156,41431
157,41432
158,41433
159,41434
160,41435
161,41436
162,41437
163,41438
164,41439
165,41440
166,41441
167,41442
168,41443
169,41444
170,41445
171,41446
172,41447
173,41448
174,41449
175,41450
176,41451
177,41452
178,41453
179,41454
180,41455
181,41456
182,41457
183,41458
184,41459
185,41460
186,41461
187,41462
188,41463
189,41464
190,41465
191,41466
192,41467
193,41468
194,41469
195,41470
196,41471
197,41472
198,41473
199,41474
200,41475
201,41476
202,41477
203,41478
204,41479
205,41480
206,41481
207,41482
208,41483
209,41484
210,41485
211,41486
212,41487
213,41488
214,41489
215,41490
216,41491
217,41492
218,41493
219,41494
220,41495
221,41496
222,41497
223,41498
224,41499
225,41500
226,41501
227,41502
228,41503
229,41504
230,41505
231,41506
232,41507
233,41508
234,41509
235,41510
236,41511
237,41512
238,41513
239,41514
240,41515
241,41516
242,41517
243,41518
244,41519
245,41520
246,41521
247,41522
248,41523
249,41524
250,41525
251,41526
252,41527
253,41528
254,41529
255,41530
256,41531
257,41532
258,41533
259,41534
260,41535
261,41536
262,41537
263,41538
264,41539
265,41540
266,41541
267,41542
268,41543
269,41544
270,41545
271,41546
272,41547
273,41548
274,41549
275,41550
276,41551
277,41552
278,41553
279,41554
280,41555
281,41556
282,41557
283,41558
284,41559
285,41560
286,41561
287,41562
288,41563
289,41564
